epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,119.301,2.15813,1.41712,1.09991,0.72753,0.62521,0.69054,0.35709,1.76417,0.871,1.00045,0.000665365,0.000665365,0.000665365
2,235.984,1.76193,0.83632,0.994,0.80016,0.68546,0.75955,0.41659,1.63442,0.76576,0.96388,0.00129906,0.00129906,0.00129906
3,359.581,1.70378,0.80453,0.97705,0.76957,0.68824,0.75478,0.41011,1.62215,0.80847,0.96189,0.00189976,0.00189976,0.00189976
4,513.479,1.66848,0.78767,0.96953,0.81585,0.70797,0.78097,0.44054,1.56327,0.72643,0.94426,0.0018515,0.0018515,0.0018515
5,629.406,1.63639,0.76765,0.96067,0.81963,0.71382,0.78926,0.44797,1.54642,0.72124,0.9413,0.001802,0.001802,0.001802
6,861.903,1.61517,0.75144,0.95514,0.82617,0.71821,0.80049,0.45963,1.52192,0.70798,0.93426,0.0017525,0.0017525,0.0017525
7,987.248,1.60163,0.74268,0.94989,0.79739,0.68761,0.77375,0.42934,1.57947,0.75465,0.943,0.001703,0.001703,0.001703
8,1568.77,1.58778,0.73643,0.94777,0.83401,0.73005,0.8098,0.46689,1.49267,0.70167,0.9263,0.0016535,0.0016535,0.0016535
9,1686.21,1.57293,0.72861,0.94556,0.82501,0.72374,0.80763,0.46432,1.49963,0.71205,0.92918,0.001604,0.001604,0.001604
10,1805.98,1.56769,0.72365,0.94475,0.84012,0.74357,0.82129,0.47662,1.48141,0.68829,0.92337,0.0015545,0.0015545,0.0015545
11,1921.39,1.55236,0.71687,0.9402,0.84495,0.74227,0.82383,0.48208,1.4681,0.67366,0.92052,0.001505,0.001505,0.001505
12,2039.38,1.54404,0.70747,0.93818,0.85152,0.75063,0.82963,0.48723,1.44722,0.66844,0.91718,0.0014555,0.0014555,0.0014555
13,2154.62,1.53805,0.70482,0.93689,0.84904,0.75628,0.82887,0.48654,1.45408,0.66906,0.91632,0.001406,0.001406,0.001406
14,2275.89,1.53644,0.70082,0.93458,0.85607,0.75767,0.83444,0.49072,1.45122,0.66571,0.91516,0.0013565,0.0013565,0.0013565
15,2733.43,1.52688,0.69521,0.93266,0.85556,0.75346,0.82991,0.48952,1.45182,0.65817,0.91626,0.001307,0.001307,0.001307
16,2849.08,1.52658,0.694,0.93136,0.8549,0.75411,0.83394,0.49575,1.43185,0.65266,0.91291,0.0012575,0.0012575,0.0012575
17,2976.03,1.52293,0.69065,0.93065,0.86305,0.76478,0.84247,0.50071,1.42924,0.64523,0.9107,0.001208,0.001208,0.001208
18,3093.77,1.51591,0.68671,0.92939,0.85678,0.75965,0.83354,0.49569,1.4402,0.64864,0.91544,0.0011585,0.0011585,0.0011585
19,3217.9,1.51191,0.68403,0.92913,0.85178,0.76193,0.84096,0.49812,1.42924,0.65545,0.90864,0.001109,0.001109,0.001109
20,3478.94,1.51144,0.68386,0.92845,0.85882,0.76921,0.84455,0.5035,1.41833,0.64497,0.908,0.0010595,0.0010595,0.0010595
21,3594.23,1.50162,0.67818,0.92671,0.86217,0.76609,0.8446,0.50578,1.41291,0.63803,0.90692,0.00101,0.00101,0.00101
22,3710.76,1.49222,0.67368,0.92646,0.86522,0.77163,0.84479,0.50556,1.41811,0.63348,0.90773,0.0009605,0.0009605,0.0009605
23,3839.78,1.49517,0.67311,0.92538,0.85982,0.77016,0.84684,0.50633,1.40883,0.6376,0.90541,0.000911,0.000911,0.000911
24,3957.46,1.49083,0.66813,0.92282,0.86486,0.77164,0.84425,0.5061,1.41054,0.62959,0.90659,0.0008615,0.0008615,0.0008615
25,4073.86,1.48614,0.66725,0.92282,0.86437,0.77632,0.84984,0.51057,1.40655,0.63054,0.90468,0.000812,0.000812,0.000812
26,4190.94,1.48251,0.66526,0.92183,0.86658,0.77554,0.85081,0.51178,1.39992,0.62749,0.90372,0.0007625,0.0007625,0.0007625
27,4308.26,1.47862,0.66259,0.92136,0.86477,0.77948,0.85281,0.51402,1.39798,0.62409,0.90283,0.000713,0.000713,0.000713
28,4427.03,1.47134,0.65846,0.91931,0.8691,0.77779,0.8531,0.51396,1.3971,0.62457,0.90227,0.0006635,0.0006635,0.0006635
29,4547.09,1.47049,0.65631,0.91975,0.87022,0.77956,0.85465,0.51598,1.39543,0.62211,0.90199,0.000614,0.000614,0.000614
30,4665.67,1.46553,0.65407,0.91827,0.86973,0.7809,0.855,0.51628,1.39312,0.62106,0.90067,0.0005645,0.0005645,0.0005645
31,4796.93,1.43494,0.64964,0.93033,0.8673,0.77529,0.85305,0.51431,1.39435,0.62652,0.90174,0.000515,0.000515,0.000515
32,4910.87,1.42376,0.63996,0.92753,0.86936,0.78085,0.85648,0.51775,1.388,0.618,0.90033,0.0004655,0.0004655,0.0004655
33,5028.12,1.42172,0.6356,0.92591,0.86876,0.77721,0.85428,0.51793,1.38472,0.61911,0.89954,0.000416,0.000416,0.000416
34,5145.27,1.41424,0.63189,0.92426,0.86824,0.78311,0.85643,0.51881,1.38514,0.61558,0.89969,0.0003665,0.0003665,0.0003665
35,5263.57,1.41361,0.62952,0.92332,0.87045,0.78186,0.85761,0.52036,1.38114,0.61315,0.89843,0.000317,0.000317,0.000317
36,5381.2,1.40806,0.62636,0.92282,0.86953,0.78329,0.8573,0.52031,1.38145,0.61288,0.8985,0.0002675,0.0002675,0.0002675
37,5498.48,1.40493,0.62322,0.92161,0.87201,0.78189,0.85696,0.52062,1.37986,0.61168,0.89816,0.000218,0.000218,0.000218
38,5614.23,1.40219,0.62207,0.92052,0.87236,0.78479,0.85962,0.52222,1.37817,0.60985,0.89747,0.0001685,0.0001685,0.0001685
39,5733.16,1.40277,0.62029,0.91921,0.87295,0.7848,0.86049,0.52261,1.37731,0.60769,0.89749,0.000119,0.000119,0.000119
40,5845.66,1.39387,0.61564,0.9193,0.87381,0.78467,0.85987,0.52307,1.37556,0.60737,0.89708,6.95e-05,6.95e-05,6.95e-05
